PlayerID,Name,Team,Position,Age,Played,Started,PassingCompletions,PassingAttempts,PassingYards,PassingTouchdowns,PassingInterceptions,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,FantasyPoints
21163,Deonte Harty,BUF,WR,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,13.0,6.5,0.0,-0.7
21158,Matt Sokol,NE,TE,26.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21686,Jalen Reagor,NE,WR,23.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,25.0,6.2,0.0,13.0,8.0,104.0,13.0,1.0,18.9
21735,Gabe Davis,BUF,WR,23.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,48.0,836.0,17.4,7.0,123.6
21818,Shane Buechele,BUF,QB,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22546,Rhamondre Stevenson,NE,RB,24.0,17.0,7.0,0.0,0.0,0.0,0.0,0.0,210.0,1040.0,5.0,5.0,88.0,69.0,421.0,6.1,1.0,180.1
22496,Mac Jones,NE,QB,24.0,14.0,14.0,288.0,442.0,2997.0,14.0,11.0,47.0,102.0,2.2,1.0,0.0,0.0,0.0,0.0,0.0,170.08
22511,Quintin Morris,BUF,TE,23.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,84.0,10.5,1.0,12.4
23247,James Cook,BUF,RB,23.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,507.0,5.7,2.0,32.0,21.0,180.0,8.6,1.0,84.7
23267,Bailey Zappe,NE,QB,23.0,4.0,2.0,65.0,92.0,781.0,5.0,3.0,10.0,0.0,0.0,0.0,1.0,1.0,-6.0,-6.0,0.0,38.64
23227,Khalil Shakir,BUF,WR,22.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,161.0,16.1,1.0,24.1
23345,Kevin Harris,NE,RB,21.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,52.0,2.9,1.0,0.0,0.0,0.0,0.0,0.0,11.2
23469,Tyquan Thornton,NE,WR,22.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,5.3,1.0,45.0,22.0,247.0,11.2,2.0,44.3
23725,Dennis Houston,NYG,WR,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,16.0,8.0,0.0,1.6
23867,Armani Rogers,WAS,TE,24.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,26.0,13.0,0.0,6.0,5.0,64.0,12.8,0.0,9.0
23485,Daniel Bellinger,NYG,TE,22.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,35.0,30.0,268.0,8.9,2.0,45.0
23190,Brian Robinson Jr.,WAS,RB,23.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,205.0,797.0,3.9,2.0,12.0,9.0,60.0,6.7,1.0,103.7
23185,Sam Howell,WAS,QB,22.0,1.0,1.0,11.0,19.0,169.0,1.0,1.0,5.0,35.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,18.26
23170,Wan'Dale Robinson,NYG,WR,21.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,-0.5,0.0,31.0,23.0,227.0,9.9,1.0,28.6
23155,Jahan Dotson,WAS,WR,22.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,-7.0,-3.5,0.0,61.0,35.0,523.0,14.9,7.0,95.6
22686,Dyami Brown,WAS,WR,22.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,15.0,0.0,14.0,5.0,143.0,28.6,2.0,27.8
22515,Cole Turner,WAS,TE,22.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,23.0,11.5,0.0,2.3
22672,Gary Brightwell,NYG,RB,23.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,141.0,4.5,1.0,8.0,5.0,39.0,7.8,0.0,24.0
22657,John Bates,WAS,TE,24.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,14.0,108.0,7.7,1.0,16.8
22572,Dax Milne,WAS,WR,23.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,37.0,6.2,1.0,9.7
21861,Antonio Gibson,WAS,RB,24.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,149.0,546.0,3.7,3.0,58.0,46.0,353.0,7.7,2.0,119.9
21728,Lawrence Cager,NYG,TE,25.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,13.0,118.0,9.1,1.0,17.8
21760,Isaiah Hodgins,NYG,WR,24.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,37.0,392.0,10.6,4.0,63.2
